window_30s,t_start_s,t_end_s,kill_count,unique_participants,unique_killers,avg_assists,objective_count,dragon_count,baron_count,herald_count,atakhan_count,match_id
21,630,660,1,3,1,1.0,0,0,0,0,0,NA1_5442855892
23,690,720,1,3,1,1.0,0,0,0,0,0,NA1_5442855892
28,840,870,3,7,2,1.3333333333333333,0,0,0,0,0,NA1_5442855892
30,900,930,3,5,2,1.0,0,0,0,0,0,NA1_5442855892
32,960,990,1,4,1,2.0,0,0,0,0,0,NA1_5442855892
33,990,1020,1,3,1,1.0,0,0,0,0,0,NA1_5442855892
36,1080,1110,1,5,1,3.0,0,0,0,0,0,NA1_5442855892
37,1110,1140,2,6,2,3.0,0,0,0,0,0,NA1_5442855892
38,1140,1170,2,6,2,1.0,0,0,0,0,0,NA1_5442855892
40,1200,1230,1,2,1,0.0,1,1,0,0,0,NA1_5442855892
41,1230,1260,1,4,1,2.0,1,0,0,0,1,NA1_5442855892
44,1320,1350,3,9,2,1.3333333333333333,0,0,0,0,0,NA1_5442855892
45,1350,1380,2,5,1,1.5,0,0,0,0,0,NA1_5442855892
47,1410,1440,1,3,1,1.0,0,0,0,0,0,NA1_5442855892
49,1470,1500,2,6,2,2.0,0,0,0,0,0,NA1_5442855892
51,1530,1560,4,6,3,1.0,1,0,1,0,0,NA1_5442855892
52,1560,1590,1,3,1,1.0,0,0,0,0,0,NA1_5442855892
54,1620,1650,1,2,1,0.0,0,0,0,0,0,NA1_5442855892
56,1680,1710,7,9,4,2.2857142857142856,0,0,0,0,0,NA1_5442855892
5,150,180,2,3,2,0.0,0,0,0,0,0,NA1_5442877400
8,240,270,5,8,5,0.8,0,0,0,0,0,NA1_5442877400
11,330,360,3,4,2,0.6666666666666666,0,0,0,0,0,NA1_5442877400
14,420,450,4,8,2,1.75,1,1,0,0,0,NA1_5442877400
16,480,510,1,3,1,1.0,0,0,0,0,0,NA1_5442877400
17,510,540,1,3,1,1.0,0,0,0,0,0,NA1_5442877400
19,570,600,1,2,1,0.0,0,0,0,0,0,NA1_5442877400
20,600,630,2,5,1,1.5,0,0,0,0,0,NA1_5442877400
21,630,660,1,3,1,1.0,0,0,0,0,0,NA1_5442877400
22,660,690,2,4,1,1.0,0,0,0,0,0,NA1_5442877400
23,690,720,1,2,1,0.0,0,0,0,0,0,NA1_5442877400
25,750,780,2,7,2,1.5,0,0,0,0,0,NA1_5442877400
26,780,810,4,8,1,3.0,1,1,0,0,0,NA1_5442877400
30,900,930,3,8,2,1.6666666666666667,0,0,0,0,0,NA1_5442877400
33,990,1020,1,4,1,2.0,0,0,0,0,0,NA1_5442877400
35,1050,1080,1,4,1,2.0,0,0,0,0,0,NA1_5442877400
37,1110,1140,3,9,2,3.0,0,0,0,0,0,NA1_5442877400
38,1140,1170,4,7,2,2.0,0,0,0,0,0,NA1_5442877400
40,1200,1230,4,8,2,2.25,1,1,0,0,0,NA1_5442877400
46,1380,1410,5,10,3,2.6,0,0,0,0,0,NA1_5442877400
52,1560,1590,7,10,4,2.5714285714285716,1,1,0,0,0,NA1_5442877400
56,1680,1710,4,9,3,2.75,0,0,0,0,0,NA1_5442877400
57,1710,1740,1,4,1,2.0,0,0,0,0,0,NA1_5442877400
64,1920,1950,3,8,2,3.6666666666666665,0,0,0,0,0,NA1_5442877400
66,1980,2010,4,8,2,2.0,0,0,0,0,0,NA1_5442877400
72,2160,2190,1,5,1,3.0,0,0,0,0,0,NA1_5442877400
76,2280,2310,5,10,2,3.4,0,0,0,0,0,NA1_5442877400
4,120,150,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
10,300,330,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
11,330,360,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
13,390,420,2,3,2,0.5,0,0,0,0,0,NA1_5442907712
15,450,480,2,2,2,0.0,0,0,0,0,0,NA1_5442907712
18,540,570,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
21,630,660,1,5,1,3.0,0,0,0,0,0,NA1_5442907712
22,660,690,2,5,2,0.5,0,0,0,0,0,NA1_5442907712
23,690,720,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
24,720,750,2,5,2,1.0,1,1,0,0,0,NA1_5442907712
25,750,780,3,4,2,0.6666666666666666,0,0,0,0,0,NA1_5442907712
27,810,840,3,5,2,1.0,0,0,0,0,0,NA1_5442907712
28,840,870,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
29,870,900,2,4,1,1.0,0,0,0,0,0,NA1_5442907712
30,900,930,2,6,2,2.0,0,0,0,0,0,NA1_5442907712
32,960,990,1,5,1,3.0,0,0,0,0,0,NA1_5442907712
34,1020,1050,1,5,1,3.0,0,0,0,0,0,NA1_5442907712
37,1110,1140,2,6,2,2.0,1,0,0,1,0,NA1_5442907712
38,1140,1170,4,9,4,2.75,0,0,0,0,0,NA1_5442907712
41,1230,1260,1,2,1,0.0,0,0,0,0,0,NA1_5442907712
43,1290,1320,4,8,3,2.75,0,0,0,0,0,NA1_5442907712
45,1350,1380,1,5,1,3.0,1,0,0,0,1,NA1_5442907712
46,1380,1410,1,3,1,1.0,1,1,0,0,0,NA1_5442907712
49,1470,1500,2,7,2,1.5,0,0,0,0,0,NA1_5442907712
50,1500,1530,4,7,3,0.5,0,0,0,0,0,NA1_5442907712
53,1590,1620,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
55,1650,1680,5,9,4,2.2,0,0,0,0,0,NA1_5442907712
58,1740,1770,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
60,1800,1830,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
61,1830,1860,1,3,1,1.0,0,0,0,0,0,NA1_5442907712
64,1920,1950,6,9,5,1.5,0,0,0,0,0,NA1_5442907712
67,2010,2040,5,10,5,3.4,0,0,0,0,0,NA1_5442907712
68,2040,2070,1,4,1,2.0,0,0,0,0,0,NA1_5442907712
69,2070,2100,2,5,2,2.0,0,0,0,0,0,NA1_5442907712
8,240,270,4,8,2,1.75,0,0,0,0,0,NA1_5442938752
10,300,330,1,3,1,1.0,0,0,0,0,0,NA1_5442938752
12,360,390,1,3,1,1.0,0,0,0,0,0,NA1_5442938752
14,420,450,3,5,2,0.6666666666666666,0,0,0,0,0,NA1_5442938752
20,600,630,1,2,1,0.0,0,0,0,0,0,NA1_5442938752
21,630,660,1,2,1,0.0,0,0,0,0,0,NA1_5442938752
22,660,690,1,2,1,0.0,0,0,0,0,0,NA1_5442938752
23,690,720,2,5,2,0.5,0,0,0,0,0,NA1_5442938752
24,720,750,1,2,1,0.0,0,0,0,0,0,NA1_5442938752
25,750,780,3,7,2,2.6666666666666665,0,0,0,0,0,NA1_5442938752
27,810,840,2,6,2,2.0,0,0,0,0,0,NA1_5442938752
28,840,870,2,6,2,1.5,0,0,0,0,0,NA1_5442938752
29,870,900,1,3,1,1.0,0,0,0,0,0,NA1_5442938752
31,930,960,7,9,4,2.857142857142857,0,0,0,0,0,NA1_5442938752
32,960,990,3,3,2,0.0,0,0,0,0,0,NA1_5442938752
34,1020,1050,2,6,2,2.5,0,0,0,0,0,NA1_5442938752
35,1050,1080,2,6,2,1.0,0,0,0,0,0,NA1_5442938752
37,1110,1140,1,5,1,3.0,0,0,0,0,0,NA1_5442938752
38,1140,1170,3,8,2,2.6666666666666665,1,1,0,0,0,NA1_5442938752
39,1170,1200,4,8,2,2.25,0,0,0,0,0,NA1_5442938752
42,1260,1290,1,3,1,1.0,0,0,0,0,0,NA1_5442938752
48,1440,1470,1,3,1,1.0,0,0,0,0,0,NA1_5442938752
49,1470,1500,1,3,1,1.0,1,1,0,0,0,NA1_5442938752
50,1500,1530,2,6,2,2.5,0,0,0,0,0,NA1_5442938752
54,1620,1650,2,7,2,2.0,0,0,0,0,0,NA1_5442938752
55,1650,1680,4,8,4,1.75,0,0,0,0,0,NA1_5442938752
